title,authors,code_link
Compositional Caching for Training-free Open-vocabulary Attribute Detection,Marco Garosi · Alessandro Conti · Gaowen Liu · Elisa Ricci · Massimiliano Mancini,
ReasonGrounder: LVLM-Guided Hierarchical Feature Splatting for Open-Vocabulary 3D Visual Grounding and Reasoning,Zhenyang Liu · Yikai Wang · Sixiao Zheng · Tongying Pan · Longfei Liang · Yanwei Fu · Xiangyang Xue,
LITA-GS: Illumination-Agnostic Novel View Synthesis via Reference-Free 3D Gaussian Splatting and Physical Priors,Han Zhou · Wei Dong · Jun Chen,https://github.com/LowLevelAI/LITA-GS
Polarized Color Screen Matting,Kenji Enomoto · Scott Cohen · Brian Price · TJ Rhodes,
MultiGO: Towards Multi-level Geometry Learning for Monocular 3D Textured Human Reconstruction,Gangjian Zhang · Nanjie Yao · Shunsi Zhang · hanfeng Zhao · Guoliang Pang · Jian Shu · Hao Wang,
Training-free Dense-Aligned Diffusion Guidance for Modular Conditional Image Synthesis,Zixuan Wang · DUO PENG · Feng Chen · Yuwei Yang · Yinjie Lei,
EBS-EKF: Accurate and High Frequency Event-based Star Tracking,Albert Reed · Connor Hashemi · Dennis Melamed · Nitesh Menon · Keigo Hirakawa · Scott McCloskey,
Noise Calibration and Spatial-Frequency Interactive Network for STEM Image Enhancement,Hesong Li · Ziqi Wu · Ruiwen Shao · Tao Zhang · Ying Fu,https://github.com/HeasonLee/SFIN
Matrix3D: Large Photogrammetry Model All-in-One,Yuanxun Lu · Jingyang Zhang · Tian Fang · Jean-Daniel Nahmias · Yanghai Tsin · Long Quan · Xun Cao · Yao Yao · Shiwei Li,
DepthCrafter: Generating Consistent Long Depth Sequences for Open-world Videos,Wenbo Hu · Xiangjun Gao · Xiaoyu Li · Sijie Zhao · Xiaodong Cun · Yong Zhang · Long Quan · Ying Shan,
Mani-GS: Gaussian Splatting Manipulation with Triangular Mesh,Xiangjun Gao · Xiaoyu Li · Yiyu Zhuang · Qi Zhang · Wenbo Hu · Chaopeng Zhang · Yao Yao · Ying Shan · Long Quan,
SAT-HMR: Real-Time Multi-Person 3D Mesh Estimation via Scale-Adaptive Tokens,Chi Su · Xiaoxuan Ma · Jiajun Su · Yizhou Wang,
DORNet: A Degradation Oriented and Regularized Network for Blind Depth Super-Resolution,Zhengxue Wang · Zhiqiang Yan · Jinshan Pan · Guangwei Gao · Kai Zhang · Jian Yang,
FALCON: Fairness Learning via Contrastive Attention Approach to Continual Semantic Scene Understanding,Thanh-Dat Truong · Utsav Prabhu · Bhiksha Raj · Jackson Cothren · Khoa Luu,
Bridging the Gap between Gaussian Diffusion Models and Universal Quantization for Image Compression,Lucas Relic · Roberto Azevedo · Yang Zhang · Markus Gross · Christopher Schroers,
"Thinking in Space: How Multimodal Large Language Models See, Remember, and Recall Spaces",Jihan Yang · Shusheng Yang · Anjali W. Gupta · Rilyn Han · Li Fei-Fei · Saining Xie,
Nested Diffusion Models Using Hierarchical Latent Priors,Xiao Zhang · Ruoxi Jiang · Rebecca Willett · Michael Maire,
FlashGS: Efficient 3D Gaussian Splatting for Large-scale and High-resolution Rendering,Guofeng Feng · Siyan Chen · Rong Fu · Zimu Liao · Yi Wang · Tao Liu · Boni Hu · Linning Xu · PeiZhilin · Hengjie Li · Xiuhong Li · Ninghui Sun · Xingcheng Zhang · Bo Dai,
UA-Pose: Uncertainty-Aware 6D Object Pose Estimation and Online Object Completion with Partial References,Ming-Feng Li · Xin Yang · Fu-En Wang · Hritam Basak · Yuyin Sun · Shreekant Gayaka · Min Sun · Cheng-Hao Kuo,
POp-GS: Next Best View in 3D-Gaussian Splatting with P-Optimality,Joey Wilson · Marcelino M. de Almeida · Sachit Mahajan · Martin Labrie · Maani Ghaffari · Omid Ghasemalizadeh · Min Sun · Cheng-Hao Kuo · Arnab Sen,
Zero-shot 3D Question Answering via Voxel-based Dynamic Token Compression,Hsiang-Wei Huang · Fu-Chen Chen · Wenhao Chai · Che-Chun Su · Lu Xia · Sanghun Jung · Cheng-Yen Yang · Jenq-Neng Hwang · Min Sun · Cheng-Hao Kuo,
Don't Shake the Wheel: Momentum-Aware Planning in End-to-End Autonomous Driving,Ziying Song · Caiyan Jia · Lin Liu · Hongyu Pan · Yongchang Zhang · Junming Wang · Xingyu Zhang · Shaoqing Xu · Lei Yang · Yadan Luo,https://github.com/adept-thu/MomAD
DeCafNet: Delegate and Conquer for Efficient Temporal Grounding in Long Videos,Zijia Lu · ASM Iftekhar · Gaurav Mittal · Tianjian Meng · Xiawei Wang · Cheng Zhao · Rohith Kukkala · Ehsan Elhamifar · Mei Chen,
dFLMoE: Decentralized Federated Learning via Mixture of Experts for Medical Data Analysis,Luyuan Xie · Tianyu Luan · Wenyuan Cai · Guochen Yan · Zhaoyu Chen · Nan Xi · Yuejian Fang · Qingni Shen · Zhonghai Wu · Junsong Yuan,
MIMO: A Medical Vision Language Model with Visual Referring Multimodal Input and Pixel Grounding Multimodal Output,Yanyuan Chen · Dexuan Xu · Yu Huang · Songkun Zhan · Hanpin Wang · Dongxue Chen · Xueping Wang · Meikang Qiu · Hang Li,https://github.com/pkusixspace/MIMO
Higher-Order Ratio Cycles for Fast and Globally Optimal Shape Matching,Paul Roetzer · Viktoria Ehm · Daniel Cremers · Zorah Lähner · Florian Bernard,
ZoomLDM: Latent Diffusion Model for Multi-scale Image Generation,Srikar Yellapragada · Alexandros Graikos · Kostas Triaridis · Prateek Prasanna · Rajarsi Gupta · Joel Saltz · Dimitris Samaras,
Rashomon Sets for Prototypical-Part Networks: Editing Interpretable Models in Real-Time,Jon Donnelly · Zhicheng Guo · Alina Jade Barnett · Hayden McTavish · Chaofan Chen · Cynthia Rudin,
FRESA: Feedforward Reconstruction of Personalized Skinned Avatars from Few Images,Rong Wang · Fabian Prada · Ziyan Wang · Zhongshi Jiang · Chengxiang Yin · Junxuan Li · Shunsuke Saito · Igor Santesteban · Javier Romero · Rohan Joshi · Hongdong Li · Jason Saragih · Yaser Sheikh,
LUCAS: Layered Universal Codec Avatars,Di Liu · Teng Deng · Giljoo Nam · Yu Rong · Stanislav Pidhorskyi · Junxuan Li · Jason Saragih · Dimitris N. Metaxas · Chen Cao,
Zero-Shot Monocular Scene Flow Estimation in the Wild,Yiqing Liang · Abhishek Badki · Hang Su · James Tompkin · Orazio Gallo,
Hybrid Concept Bottleneck Models,Yang Liu · Tianwei Zhang · Shi Gu,https://github.com/ly1998117/HybridCBM
VISTA: Enhancing Long-Duration and High-Resolution Video Understanding by Video Spatiotemporal Augmentation,Weiming Ren · Huan Yang · Jie Min · Cong Wei · Wenhu Chen,
CDI: Copyrighted Data Identification in Diffusion Models,Jan Dubiński · Antoni Kowalczuk · Franziska Boenisch · Adam Dziedzic,
VideoMage: Multi-Subject and Motion Customization of Text-to-Video Diffusion Models,Chi-Pin Huang · Yen-Siang Wu · Hung-Kai Chung · Kai-Po Chang · Fu-En Yang · Yu-Chiang Frank Wang,
Text-Driven Fashion Image Editing with Compositional Concept Learning and Counterfactual Abduction,Shanshan Huang · Haoxuan Li · Chunyuan Zheng · Mingyuan Ge · WeiGao · Lei Wang · Li Liu,
SKE-Layout: Spatial Knowledge Enhanced Layout Generation with LLMs,Junsheng Wang · Nieqing Cao · Yan Ding · Mengying Xie · Fuqiang Gu · Chao Chen,
Open-World Amodal Appearance Completion,Jiayang Ao · Yanbei Jiang · Qiuhong Ke · Krista A. Ehinger,https://github.com/saraao/amodal
Apollo: An Exploration of Video Understanding in Large Multimodal Models,Orr Zohar · Xiaohan Wang · Yann Dubois · Nikhil Mehta · Tong Xiao · Philippe Hansen-Estruch · Licheng Yu · Xiaofang Wang · Felix Juefei-Xu · Ning Zhang · Serena Yeung · Xide Xia,
